Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,23.620001,23.738001,21.959999,23.120001,23.120001,41592800
2021-10-11,23.070000,24.320000,19.870001,20.010000,20.010000,88694900
2021-10-18,19.040001,20.760000,19.000000,19.660000,19.660000,70057100
2021-10-25,19.740000,20.530001,17.980000,18.750000,18.750000,62429800
2021-11-01,18.860001,20.200001,18.690001,19.530001,19.530001,42317900
2021-11-08,19.320000,21.680000,19.080000,19.219999,19.219999,74411300
2021-11-15,19.200001,19.504999,17.059999,17.250000,17.250000,56527300
2021-11-22,17.455000,17.650000,16.230000,16.730000,16.730000,31983800
2021-11-29,16.780001,16.850000,14.020000,14.370000,14.370000,61081500
2021-12-06,14.190000,16.559999,13.685000,15.210000,15.210000,47585000
2021-12-13,15.170000,15.550000,13.520000,14.460000,14.460000,53286200
2021-12-20,13.990000,14.750000,13.601000,14.530000,14.530000,32030400
2021-12-27,14.430000,14.570000,12.860000,13.380000,13.380000,58571500
2022-01-03,13.480000,13.735000,11.300000,12.450000,12.450000,73933400
2022-01-10,12.430000,12.700000,9.750000,10.140000,10.140000,145967500
2022-01-17,10.030000,10.060000,8.460000,8.470000,8.470000,86789600
2022-01-24,8.110000,9.145000,7.580000,8.140000,8.140000,88868400
2022-01-31,8.250000,9.840000,8.240000,8.990000,8.990000,71647600
2022-02-07,8.900000,9.455000,8.285000,8.440000,8.440000,60981100
2022-02-14,8.380000,10.970000,8.050000,8.400000,8.400000,316737000
2022-02-21,8.130000,9.200000,7.400000,9.180000,9.180000,144739900
2022-02-28,9.070000,10.030000,7.780000,7.840000,7.840000,87585900
2022-03-07,7.890000,8.170000,7.050000,7.280000,7.280000,63642100
2022-03-14,7.170000,9.545000,6.700000,9.430000,9.430000,89106900
2022-03-21,9.270000,9.870000,9.000000,9.430000,9.430000,47057700
2022-03-28,9.460000,11.250000,9.259000,9.990000,9.990000,77722700
2022-04-04,10.140000,10.690000,8.560000,8.690000,8.690000,53938300
2022-04-11,8.560000,9.241000,8.290000,8.990000,8.990000,31410500
2022-04-18,8.930000,9.220000,7.800000,7.990000,7.990000,48518300
2022-04-25,7.990000,8.410000,7.280000,7.490000,7.490000,43927200
2022-05-02,7.450000,8.320000,6.351000,6.800000,6.800000,58599300
2022-05-09,6.590000,6.690000,5.140000,6.540000,6.540000,71479100
2022-05-16,6.440000,6.930000,6.200000,6.550000,6.550000,51515000
2022-05-23,6.490000,7.230000,6.050000,7.110000,7.110000,38347200
2022-05-30,7.170000,7.380000,6.600000,6.960000,6.960000,31653000
2022-06-06,7.140000,7.490000,6.280000,6.310000,6.310000,43946900
2022-06-13,6.000000,6.355000,5.555000,6.250000,6.250000,45408200
2022-06-20,6.130000,6.780000,5.854000,6.570000,6.570000,57459000
2022-06-27,6.600000,6.730000,5.715000,6.280000,6.280000,32762200
2022-07-04,6.190000,7.440000,5.840000,7.320000,7.320000,36128900
2022-07-11,7.200000,7.350000,6.520000,7.350000,7.350000,32247100
2022-07-18,7.490000,7.840000,7.210000,7.320000,7.320000,29916500
